Skylake-SP,Shelf,GHz,CC,"CPU
 no",GHz,CC
5118,Gold,2.3,12,e5-2630v3,2.4,8
5118,Gold,2.3,12,e5-2630v4,2.2,10
5118,Gold,2.3,12,e5-2640v2,2,8
5118,Gold,2.3,12,e5-2640v3,2.6,8
5118,Gold,2.3,12,e5-2640v3,2.6,8
5118,Gold,2.3,12,e5-2640v4,2.4,10
5118,Gold,2.3,12,e5-2650v2,2.6,8
5118,Gold,2.3,12,e5-2650v3,2.3,10
5118,Gold,2.3,12,e5-2650v4,2.2,12
5118,Gold,2.3,12,e5-4610v2,2.3,8
5118,Gold,2.3,12,e5-4610v3,1.7,10
5118,Gold,2.3,12,e5-4610v4,1.8,10
5120,Gold,2.2,14,e5-2620v2,2.1,6
5120,Gold,2.2,14,e5-2620v3,2.4,6
5120,Gold,2.2,14,e5-2620v4,2.1,8
5120,Gold,2.2,14,e5-2630v2,2.6,6
5120,Gold,2.2,14,e5-2630v3,2.4,8
5120,Gold,2.2,14,e5-2630v4,2.2,10
5120,Gold,2.2,14,e5-2640v2,2,8
5120,Gold,2.2,14,e5-2640v3,2.6,8
5120,Gold,2.2,14,e5-2640v3,2.6,8
5120,Gold,2.2,14,e5-2640v4,2.4,10
5120,Gold,2.2,14,e5-2650v2,2.6,8
5120,Gold,2.2,14,e5-2650v3,2.3,10
5120,Gold,2.2,14,e5-2650v4,2.2,12
5120,Gold,2.2,14,e5-2660v2,2,8
5120,Gold,2.2,14,e5-2660v3,2.6,10
5120,Gold,2.2,14,e5-2660v4,2,14
5120,Gold,2.2,14,e5-4610v2,2.3,8
5120,Gold,2.2,14,e5-4610v3,1.7,10
5120,Gold,2.2,14,e5-4610v4,1.8,10
5120,Gold,2.2,14,e5-4620v2,3,8
5120,Gold,2.2,14,e5-4620v3,2,10
5120,Gold,2.2,14,e5-4620v4,2.1,10
5120,Gold,2.2,14,e5-4640v2,2.2,10
5120,Gold,2.2,14,e5-4640v3,1.9,12
5120,Gold,2.2,14,e5-4650v2,2.4,10
5120,Gold,2.2,14,e5-4650v3,2.1,12
5120,Gold,2.2,14,e5-4650v4,2.2,14
5120,Gold,2.2,14,e7-4809v2,1.9,6
5120,Gold,2.2,14,e7-4809v3,2,8
5120,Gold,2.2,14,e7-4809v4,2.1,8
5120,Gold,2.2,14,e7-4820v2,2,8
5120,Gold,2.2,14,e7-4820v3,1.9,10
5120,Gold,2.2,14,e7-4820v4,2,10
5122,Gold,3.6,4,e5-2623v3,3,4
5122,Gold,3.6,4,e5-2623v4,2.6,4
5122,Gold,3.6,4,e5-2637v2,3.5,4
5122,Gold,3.6,4,e5-2637v3,3.5,4
5122,Gold,3.6,4,e5-2637v4,3.5,4
6126,Gold,2.6,12,e5-2630v2,2.6,6
6126,Gold,2.6,12,e5-2630v3,2.4,8
6126,Gold,2.6,12,e5-2630v4,2.2,10
6126,Gold,2.6,12,e5-2640v2,2,8
6126,Gold,2.6,12,e5-2640v3,2.6,8
6126,Gold,2.6,12,e5-2640v3,2.6,8
6126,Gold,2.6,12,e5-2640v4,2.4,10
6126,Gold,2.6,12,e5-2650v2,2.6,8
6126,Gold,2.6,12,e5-2650v3,2.3,10
6126,Gold,2.6,12,e5-2650v4,2.2,12
6126,Gold,2.6,12,e5-2660v2,2,8
6126,Gold,2.6,12,e5-2660v3,2.6,10
6126,Gold,2.6,12,e5-2660v4,2,14
6126,Gold,2.6,12,e5-2680v2,2.8,10
6126,Gold,2.6,12,e5-2680v3,2.5,12
6126,Gold,2.6,12,e5-2680v4,2.4,14
6126,Gold,2.6,12,e5-4610v2,2.3,8
6126,Gold,2.6,12,e5-4610v3,1.7,10
6126,Gold,2.6,12,e5-4610v4,1.8,10
6126,Gold,2.6,12,e5-4620v2,3,8
