"CPU
 no",GHz,CC,Skylake-SP,Shelf,GHz,CC
E5-2650v2,2.6,8,6138,Gold,2,20
E5-2650v3,2.3,10,5118,Gold,2.3,12
E5-2650v3,2.3,10,5120,Gold,2.2,14
E5-2650v3,2.3,10,6126,Gold,2.6,12
E5-2650v3,2.3,10,6130,Gold,2.1,16
E5-2650v3,2.3,10,6138,Gold,2,20
E5-2650v4,2.2,12,5118,Gold,2.3,12
E5-2650v4,2.2,12,5120,Gold,2.2,14
E5-2650v4,2.2,12,6126,Gold,2.6,12
E5-2650v4,2.2,12,6130,Gold,2.1,16
E5-2650v4,2.2,12,6138,Gold,2,20
E5-2660v2,2,8,5120,Gold,2.2,14
E5-2660v2,2,8,6126,Gold,2.6,12
E5-2660v2,2,8,6130,Gold,2.1,16
E5-2660v2,2,8,6138,Gold,2,20
E5-2660v3,2.6,10,5120,Gold,2.2,14
E5-2660v3,2.6,10,6126,Gold,2.6,12
E5-2660v3,2.6,10,6130,Gold,2.1,16
E5-2660v3,2.6,10,6138,Gold,2,20
E5-2660v4,2,14,5120,Gold,2.2,14
E5-2660v4,2,14,6126,Gold,2.6,12
E5-2660v4,2,14,6130,Gold,2.1,16
E5-2660v4,2,14,6138,Gold,2,20
E5-2667v2,3.3,8,6134,Gold,3.2,8
E5-2667v2,3.3,8,6136,Gold,3,12
E5-2667v2,3.3,8,6154,Gold,3,18
E5-2667v3,3.2,8,6134,Gold,3.2,8
E5-2667v3,3.2,8,6136,Gold,3,12
E5-2667v3,3.2,8,6154,Gold,3,18
E5-2667v4,3.2,8,6134,Gold,3.2,8
E5-2667v4,3.2,8,6136,Gold,3,12
E5-2667v4,3.2,8,6154,Gold,3,18
E5-2680v2,2.8,10,6126,Gold,2.6,12
E5-2680v2,2.8,10,6130,Gold,2.1,16
E5-2680v2,2.8,10,6132,Gold,2.6,14
E5-2680v2,2.8,10,6140,Gold,2.3,18
E5-2680v2,2.8,10,6142,Gold,2.6,16
E5-2680v2,2.8,10,8160,Platinum,2.1,24
E5-2680v3,2.5,12,6126,Gold,2.6,12
E5-2680v3,2.5,12,6130,Gold,2.1,16
E5-2680v3,2.5,12,6132,Gold,2.6,14
E5-2680v3,2.5,12,6140,Gold,2.3,18
E5-2680v3,2.5,12,6142,Gold,2.6,16
E5-2680v3,2.5,12,8160,Platinum,2.1,24
E5-2680v4,2.4,14,6126,Gold,2.6,12
E5-2680v4,2.4,14,6130,Gold,2.1,16
E5-2680v4,2.4,14,6132,Gold,2.6,14
E5-2680v4,2.4,14,6140,Gold,2.3,18
E5-2680v4,2.4,14,6142,Gold,2.6,16
E5-2680v4,2.4,14,8160,Platinum,2.1,24
E5-2683v3,2,14,6130,Gold,2.1,16
E5-2683v3,2,14,6138,Gold,2,20
E5-2683v3,2,14,6140,Gold,2.3,18
E5-2683v4,2.1,16,6130,Gold,2.1,16
E5-2683v4,2.1,16,6138,Gold,2,20
E5-2683v4,2.1,16,6140,Gold,2.3,18
E5-2687Wv3,3.1,10,6136,Gold,3,12
E5-2687Wv3,3.1,10,6154,Gold,3,18
E5-2687Wv4,3.2,12,6136,Gold,3,12
E5-2687Wv4,3.2,12,6154,Gold,3,18
E5-2690v2,3,10,6132,Gold,2.6,14
E5-2690v2,3,10,6140,Gold,2.3,18
E5-2690v2,3,10,6148,Gold,2.4,20
E5-2690v2,3,10,6150,Gold,2.7,18
E5-2690v2,3,10,8168,Platinum,2.7,24
E5-2690v3,2.6,12,6132,Gold,2.6,14
E5-2690v3,2.6,12,6140,Gold,2.3,18
E5-2690v3,2.6,12,6148,Gold,2.4,20
E5-2690v3,2.6,12,6150,Gold,2.7,18
E5-2690v3,2.6,12,8168,Platinum,2.7,24
E5-2690v4,2.6,14,6132,Gold,2.6,14
E5-2690v4,2.6,14,6140,Gold,2.3,18
E5-2690v4,2.6,14,6148,Gold,2.4,20
E5-2690v4,2.6,14,6150,Gold,2.7,18
E5-2690v4,2.6,14,8168,Platinum,2.7,24
E5-2695v2,2.4,12,6138,Gold,2,20
E5-2695v2,2.4,12,6140,Gold,2.3,18
E5-2695v2,2.4,12,6152,Gold,2.1,22
E5-2695v3,2.3,14,6138,Gold,2,20
E5-2695v3,2.3,14,6140,Gold,2.3,18
E5-2695v3,2.3,14,6152,Gold,2.1,22
E5-2695v4,2.1,18,6138,Gold,2,20
E5-2695v4,2.1,18,6140,Gold,2.3,18
E5-2695v4,2.1,18,6152,Gold,2.1,22
E5-2697v2,2.7,12,6142,Gold,2.6,16
E5-2697v2,2.7,12,6148,Gold,2.4,20
E5-2697v2,2.7,12,6150,Gold,2.7,18
E5-2697v2,2.7,12,6154,Gold,3,18
E5-2697v2,2.7,12,8160,Platinum,2.1,24
E5-2697v2,2.7,12,8168,Platinum,2.7,24
E5-2697v3,2.6,14,6142,Gold,2.6,16
E5-2697v3,2.6,14,6148,Gold,2.4,20
E5-2697v3,2.6,14,6150,Gold,2.7,18
E5-2697v3,2.6,14,6154,Gold,3,18
E5-2697v3,2.6,14,8160,Platinum,2.1,24
E5-2697v3,2.6,14,8168,Platinum,2.7,24
E5-2697v4,2.3,18,6142,Gold,2.6,16
E5-2697v4,2.3,18,6148,Gold,2.4,20
E5-2697v4,2.3,18,6150,Gold,2.7,18
E5-2697v4,2.3,18,6154,Gold,3,18
E5-2697v4,2.3,18,8160,Platinum,2.1,24
E5-2697v4,2.3,18,8168,Platinum,2.7,24
E5-2697Av4,2.6,16,6142,Gold,2.6,16
E5-2697Av4,2.6,16,6148,Gold,2.4,20
E5-2697Av4,2.6,16,6150,Gold,2.7,18
E5-2697Av4,2.6,16,6154,Gold,3,18
E5-2697Av4,2.6,16,8168,Platinum,2.7,24
E5-2698v3,2.3,16,6150,Gold,2.7,18
E5-2698v3,2.3,16,6152,Gold,2.1,22
E5-2698v3,2.3,16,6154,Gold,3,18
E5-2698v3,2.3,16,8160,Platinum,2.1,24
E5-2698v3,2.3,16,8164,Platinum,2,26
E5-2698v4,2.2,20,6150,Gold,2.7,18
E5-2698v4,2.2,20,6152,Gold,2.1,22
E5-2698v4,2.2,20,6154,Gold,3,18
E5-2698v4,2.2,20,8160,Platinum,2.1,24
E5-2698v4,2.2,20,8164,Platinum,2,26
E5-2699v3,2.3,18,8160,Platinum,2.1,24
E5-2699v3,2.3,18,8164,Platinum,2,26
E5-2699v3,2.3,18,8168,Platinum,2.7,24
E5-2699v3,2.3,18,8170,Platinum,2.1,26
E5-2699v3,2.3,18,8176,Platinum,2.1,28
E5-2699v3,2.3,18,8180,Platinum,2.5,28
E5-2699v4,2.2,22,8160,Platinum,2.1,24
E5-2699v4,2.2,22,8164,Platinum,2,26
E5-2699v4,2.2,22,8168,Platinum,2.7,24
E5-2699v4,2.2,22,8170,Platinum,2.1,26
E5-2699v4,2.2,22,8176,Platinum,2.1,28
E5-2699v4,2.2,22,8180,Platinum,2.5,28
E5-2699Av4,2.4,22,8160,Platinum,2.1,24
E5-2699Av4,2.4,22,8164,Platinum,2,26
E5-2699Av4,2.4,22,8168,Platinum,2.7,24
E5-2699Av4,2.4,22,8170,Platinum,2.1,26
E5-2699Av4,2.4,22,8176,Platinum,2.1,28
E5-2699Av4,2.4,22,8180,Platinum,2.5,28
E5-4610v2,2.3,8,5118,Gold,2.3,12
E5-4610v2,2.3,8,5120,Gold,2.2,14
E5-4610v2,2.3,8,6126,Gold,2.6,12
E5-4610v2,2.3,8,6130,Gold,2.1,16
E5-4610v3,1.7,10,5118,Gold,2.3,12
E5-4610v3,1.7,10,5120,Gold,2.2,14
E5-4610v3,1.7,10,6126,Gold,2.6,12
E5-4610v3,1.7,10,6130,Gold,2.1,16
E5-4610v4,1.8,10,5118,Gold,2.3,12
E5-4610v4,1.8,10,5120,Gold,2.2,14
